COMMUNITY_AREA,NUM_INSP_AREA,PERC_INS_FAILED_AREA,PERC_INS_PASSED_AREA,PERC_INS_PASSED_COND_AREA,PERC_SERIOUS_VIOLATIONS_FAILED_AREA,IS_HIGH_CRIME_AREA,IS_HIGH_RISK_AREA,IS_LOW_HEALTH_AREA,IS_HIGH_BELOW_POVERTY_LEVEL,IS_LOW_PER_CAPITA_INCOME,IS_HIGH_UNEMPLOYMENT_RATE,AREA_BELOW_POVERTY_LEVEL,AREA_PER_CAPITA_INCOME,AREA_UNEMPLOYMENT,AREA_CRIME_INDEX,AREA_HEALTH_INDEX
douglas,45,20.0,66.66666666666666,13.333333333333334,13.333333333333334,0,0,1,1,1,1,26.1,23098,16.7,11.35,42.7625
archer heights,63,33.33333333333333,39.682539682539684,26.984126984126984,39.682539682539684,1,1,1,0,1,1,13.0,16145,14.2,16.0,57.175
beverly,67,20.8955223880597,56.71641791044776,22.388059701492537,19.402985074626866,0,0,1,0,0,0,5.2,40107,7.8,3.5,53.8125
lake view,570,21.228070175438596,49.29824561403508,29.47368421052631,35.78947368421053,0,0,0,0,0,0,10.5,58227,4.7,1.6,72.16875
near west side,588,18.70748299319728,55.27210884353742,26.02040816326531,23.809523809523807,0,0,1,1,0,1,21.6,41488,10.7,11.0,55.06249999999999
west englewood,72,30.555555555555557,58.333333333333336,11.11111111111111,30.555555555555557,1,1,1,1,1,1,32.3,10559,34.7,43.25,36.21875000000001
oakland,3,0.0,100.0,0.0,0.0,1,1,1,1,1,1,38.1,19312,26.6,15.75,54.83124999999999
norwood park,82,21.951219512195124,43.90243902439025,34.146341463414636,21.951219512195124,0,0,0,0,1,0,5.9,31659,7.3,6.699999999999999,64.01249999999999
north lawndale,102,21.568627450980394,56.86274509803921,21.568627450980394,17.647058823529413,1,1,1,1,1,1,38.6,12548,18.5,42.150000000000006,37.39374999999999
loop,571,16.46234676007005,58.49387040280211,25.04378283712785,22.066549912434326,0,0,0,0,0,0,11.1,67699,4.2,2.35,72.73125
east garfield park,105,15.238095238095239,66.66666666666666,18.095238095238095,16.19047619047619,1,1,1,1,1,1,39.7,13596,16.4,37.75,42.84375000000001
west pullman,62,30.64516129032258,45.16129032258064,24.193548387096776,32.25806451612903,1,1,1,1,1,1,24.3,16228,17.0,45.2,41.60625
morgan park,75,33.33333333333333,45.33333333333333,21.333333333333336,36.0,1,1,1,0,1,1,13.7,26185,14.9,17.85,49.60625
north center,172,22.093023255813954,49.41860465116279,28.488372093023255,33.13953488372093,0,0,0,0,0,0,7.1,51615,4.5,1.0,65.025
edgewater,253,19.76284584980237,44.66403162055336,35.573122529644266,27.27272727272727,0,0,0,0,1,0,16.6,33364,9.0,4.85,62.40625
hegewisch,28,39.285714285714285,32.142857142857146,28.57142857142857,46.42857142857143,0,0,1,0,1,0,12.1,22561,9.6,10.15,53.28125
armour square,170,31.76470588235294,50.0,18.235294117647058,34.705882352941174,0,0,0,1,1,1,35.8,16942,11.6,1.8,62.76874999999999
lincoln park,419,29.594272076372313,36.27684964200477,34.12887828162291,47.7326968973747,0,0,0,0,0,0,11.8,71403,4.5,1.5,68.70625
