Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Per Capita Income,Unemployment
2594450,VALERIO'S TROPICAL BAKESHOP,Bakery,1.0,2024-05-13,1,[],albany park,14,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1,374.1,1.2,72.9,101.8,16.8,17.1,11.2,20355,9.0
2594363,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,Restaurant,1.0,2024-05-10,1,[],near west side,28,18.2,55.6,9.0,77.6,10.5,36.7,12.7,33.4,202.0,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,466.5,14.1,21.6,3.8,41488,10.7
2594351,J AND L FAMILY LEARNING CENTER 2,Children's Services Facility,1.0,2024-05-10,1,"['49', '55']",roseland,49,14.3,68.8,12.2,69.0,12.8,79.7,40.9,43.5,258.5,32.0,95.5,37.7,9.6,70.3,57.6,55.6,369.5,1.9,1512.0,1725.3,7.9,19.5,3.1,17974,17.8
2594291,D'NUEZ,Restaurant,1.0,2024-05-09,1,"['51', '55']",brighton park,58,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,52.7,11.5,23.0,13.2,13138,11.2
2594278,SUMMER HOUSE SANTA MONICA/STELLA BARRA PIZZERIA,Restaurant,1.0,2024-05-09,1,"['16', '49', '51', '55']",lincoln park,7,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40.0,27.3,35.3,173.3,0.6,50.3,93.1,1.2,11.8,0.6,71403,4.5
2594268,LINCOLN PARK PRESCHOOL AND KINDERGARTEN,Children's Services Facility,1.0,2024-05-09,1,[],lincoln park,7,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40.0,27.3,35.3,173.3,0.6,50.3,93.1,1.2,11.8,0.6,71403,4.5
2594261,SCAFURI BAKERY,Restaurant,1.0,2024-05-09,1,[],near west side,28,18.2,55.6,9.0,77.6,10.5,36.7,12.7,33.4,202.0,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,466.5,14.1,21.6,3.8,41488,10.7
2594198,YUZU SUSHI AND ROBATA GRILL,Restaurant,1.0,2024-05-08,1,['47'],west town,24,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107.0,6.6,5.1,27.4,16.6,33.3,316.6,0.5,177.5,182.8,3.6,15.7,2.0,39596,6.0
2594179,PETE'S FRESH MARKET #18,Grocery Store,1.0,2024-05-08,1,[],ashburn,70,14.7,69.0,9.0,82.4,11.3,38.3,12.4,37.2,229.3,22.8,80.1,11.6,10.2,62.8,44.5,47.4,368.3,0.2,529.0,602.9,4.4,9.5,4.2,22078,8.8
2594082,"L AND L LUVABLE DAY CARE,INC",Daycare,1.0,2024-05-07,1,[],south chicago,46,18.1,82.2,13.0,75.3,15.1,76.8,36.9,31.9,227.3,21.1,86.9,33.7,17.7,50.9,56.3,50.6,493.4,1.6,1774.7,893.5,6.9,28.0,5.9,15393,17.7
