Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name
2594450,VALERIO'S TROPICAL BAKESHOP,Bakery,1.0,2024-05-13,1,[],ALBANY PARK
2594363,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,Restaurant,1.0,2024-05-10,1,[],NEAR WEST SIDE
2594351,J AND L FAMILY LEARNING CENTER 2,Children's Services Facility,1.0,2024-05-10,1,"['49', '55']",ROSELAND
2594291,D'NUEZ,Restaurant,1.0,2024-05-09,1,"['51', '55']",BRIGHTON PARK
2594278,SUMMER HOUSE SANTA MONICA/STELLA BARRA PIZZERIA,Restaurant,1.0,2024-05-09,1,"['16', '49', '51', '55']",LINCOLN PARK
2594268,LINCOLN PARK PRESCHOOL AND KINDERGARTEN,Children's Services Facility,1.0,2024-05-09,1,[],LINCOLN PARK
2594261,SCAFURI BAKERY,Restaurant,1.0,2024-05-09,1,[],NEAR WEST SIDE
2594198,YUZU SUSHI AND ROBATA GRILL,Restaurant,1.0,2024-05-08,1,['47'],WEST TOWN
2594179,PETE'S FRESH MARKET #18,Grocery Store,1.0,2024-05-08,1,[],ASHBURN
2594082,"L AND L LUVABLE DAY CARE,INC",Daycare,1.0,2024-05-07,1,[],SOUTH CHICAGO
2594083,PETERSON PK HEALTH CARE CENTER,Long Term Care,1.0,2024-05-07,1,[],NORTH PARK
2594090,WILLIAM BROWN ELEMENTARY SCHOOL,School,1.0,2024-05-07,1,[],NEAR WEST SIDE
2594057,SEASHELL,Restaurant,2.0,2024-05-06,0,"['2', '3', '22', '33', '38', '38', '39', '49', '53', '55', '55', '55', '56']",NORTH LAWNDALE
2594062,MONTGOMERY PLACE,Long Term Care,1.0,2024-05-06,1,"['49', '55']",HYDE PARK
2594059,FRANKIN'S BAKERY,Bakery,2.0,2024-05-06,1,['51'],HERMOSA
2594023,DREW'S ON HALSTED,Restaurant,1.0,2024-05-06,1,[],LAKE VIEW
2594016,ANYTIME NUTRITION,Grocery Store,2.0,2024-05-06,1,[],BELMONT CRAGIN
2594009,JORDYN'S SOUL CAFE INC,Restaurant,1.0,2024-05-06,1,[],HYDE PARK
2594001,"UNIVERSITY KIDS EARLY LEARNING CENTER, INC.",Children's Services Facility,1.0,2024-05-06,1,"['55', '55']",WOODLAWN
2593967,Big Star,Restaurant,1.0,2024-05-03,1,[],WEST TOWN
2593947,SINYA,Restaurant,1.0,2024-05-03,1,[],NEAR NORTH SIDE
2593951,GIOIA RISTORANTE E PASTIFICIO,Restaurant,1.0,2024-05-03,1,[],NEAR WEST SIDE
2593926,BANQUETES LA GLORIA 47TH ST,Restaurant,1.0,2024-05-03,1,[],ARCHER HEIGHTS
2593933,SKY CHOP SUEY INC,Restaurant,1.0,2024-05-03,0,['38'],ASHBURN
2593911,HERITAGE RESTAURANT & CAVIAR BAR,Restaurant,1.0,2024-05-03,1,"['10', '54']",WEST TOWN
2593912,SIP & SAVOR,Restaurant,1.0,2024-05-03,1,"['49', '55']",HYDE PARK
2593901,THE FAT SHALLOT,Mobile Food Preparer,2.0,2024-05-03,1,[],LOWER WEST SIDE
2593890,COURTYARD BY MARRIOTT,Restaurant,1.0,2024-05-03,1,[],NEAR NORTH SIDE
2593900,URBAN TABLES,Catering,1.0,2024-05-03,2,['2'],ROGERS PARK
2593885,ECUADORIAN GUSS BAKERY,Restaurant,1.0,2024-05-03,0,"['3', '23', '36', '37', '37', '38', '40', '44', '47', '53', '54', '55']",ALBANY PARK
2593867,Rainbow Cone,Restaurant,2.0,2024-05-02,1,"['10', '51']",WEST TOWN
2593846,3 KINGS JERK & SOUL LLC,Restaurant,1.0,2024-05-02,1,"['55', '56']",AUSTIN
2593842,CHEF ART SMITH'S REUNION RESTAURANT,Restaurant,1.0,2024-05-02,1,['33'],NEAR NORTH SIDE
2593826,DIMO'S PIZZA WRIGLEYVILLE,Restaurant,1.0,2024-05-02,1,[],LAKE VIEW
2593795,7 HEAVEN FOOD MART,Grocery Store,3.0,2024-05-02,1,['55'],ROGERS PARK
2593790,RUSH UNIVERSITY MEDICAL CENTER,Hospital,1.0,2024-05-02,1,"['55', '55']",NEAR WEST SIDE
2593886,CHICAGO CUT STEAKHOUSE,Restaurant,3.0,2024-05-02,1,[],NEAR NORTH SIDE
2593766,JERK MAN,Restaurant,1.0,2024-05-01,1,"['40', '43', '47', '47', '47', '49', '49', '53', '55', '56', '56', '57', '58']",GREATER GRAND CROSSING
2593756,DUNKIN DONUTS,Restaurant,2.0,2024-05-01,1,['10'],ASHBURN
2593745,CHELY'S,Shared Kitchen,1.0,2024-05-01,1,[],WEST RIDGE
2593722,INDUSTRY ALES,Restaurant,3.0,2024-04-30,1,[],LOOP
2593690,BIG TONY'S,Restaurant,1.0,2024-04-30,1,[],AUSTIN
2593658,Piccolo Specialty School,School,1.0,2024-04-30,1,[],HUMBOLDT PARK
2593620,MOJO,Restaurant,2.0,2024-04-29,1,[],LOOP
2593602,GOURMET GORILLA,Catering,1.0,2024-04-29,1,[],LOWER WEST SIDE
2593549,LOS PRIMOS FRESH MARKET & TAQUERIA LLC,Grocery Store,1.0,2024-04-29,1,"['38', '47', '49', '55', '55']",GARFIELD RIDGE
2593513,ADVOCATE TRINITY HOSPITAL,Hospital,1.0,2024-04-26,2,[],CALUMET HEIGHTS
2593477,ELAINE'S CHOP SUEY 1,Restaurant,1.0,2024-04-26,1,[],NEW CITY
2593458,MORRISON'S SOUL FOOD,Restaurant,1.0,2024-04-25,0,"['37', '37', '38', '39', '41', '43', '44', '47', '47', '48', '49', '53', '54', '55', '55', '55', '55', '60']",GREATER GRAND CROSSING
2593459,PIECE OUT,Restaurant,3.0,2024-04-25,1,[],WEST TOWN
2593462,"JAMAICA JERK SPICE, INC",Restaurant,1.0,2024-04-25,1,"['10', '38']",WOODLAWN
2593448,AJAWAAH SWEETS,Restaurant,1.0,2024-04-25,1,[],WEST RIDGE
2593413,NICK'S GYROS,Restaurant,1.0,2024-04-25,0,"['1', '2', '3', '10', '16', '21', '37', '38', '39', '41', '45', '47', '49', '55']",WEST ENGLEWOOD
2593402,BARTACO,Restaurant,1.0,2024-04-25,1,['58'],WEST TOWN
2593394,Tropical Smoothie Cafe,Restaurant,2.0,2024-04-25,1,[],LINCOLN SQUARE
2593363,TACO & BURRITO HOUSE,Restaurant,1.0,2024-04-24,1,"['49', '58']",LINCOLN PARK
2593359,ESTHER'S ICE CREAM,Mobile Food Dispenser,3.0,2024-04-24,1,[],NEAR WEST SIDE
2593349,BRODYS HOUSE OF COOKED FISH & CHICKEN,Restaurant,2.0,2024-04-24,1,"['63', '64']",GREATER GRAND CROSSING
2593345,DEL-KAR PHARMACY INC,Grocery Store,3.0,2024-04-24,1,['36'],NORTH LAWNDALE
2593323,PRECIOUS LITTLE ONE'S LEARNING CENTER,Children's Services Facility,1.0,2024-04-24,1,['55'],WASHINGTON PARK
2593295,QUANG NOODLE,Shared Kitchen,1.0,2024-04-23,1,[],WEST RIDGE
2593286,SUBWAY,Restaurant,1.0,2024-04-23,1,[],SOUTH SHORE
2593244,MOTHER PREPPER,Shared Kitchen,1.0,2024-04-23,1,[],LOGAN SQUARE
2593203,BOB'S PIZZA,Restaurant,1.0,2024-04-22,1,['51'],HYDE PARK
2593179,IT'SUGAR,Grocery Store,3.0,2024-04-22,1,[],NEAR NORTH SIDE
2593188,LINCOLN PK COOPERATIVE NURSERY,Daycare,1.0,2024-04-22,1,[],LINCOLN PARK
2593181,MAKKI MART CORP,Grocery Store,2.0,2024-04-22,1,[],WEST RIDGE
2593157,PANDA EXPRESS #1422,Restaurant,1.0,2024-04-22,1,"['55', '58']",MORGAN PARK
2593132,Olive-Harvey Middle College (YCCS),School,3.0,2024-04-22,1,['10'],PULLMAN
2593117,MAC DYNAMITE,Shared Kitchen,1.0,2024-04-22,1,[],EDGEWATER
2593102,LITTLE MIRACLES DAYCARE & LEARNING ACADEMY INC.,Daycare,1.0,2024-04-19,1,['55'],SOUTH CHICAGO
